apartment_id,building,apartment,floor,type,profile_key,segment,rooms,area_m2,balcony_m2,directions,park_view,market_balcony_coef,effective_market_area_m2,current_segment_rate_ils,current_unadjusted_value_ils,quality_adjustment_pct,current_market_value_ils,sale_value_low_ils,sale_value_base_ils,sale_value_high_ils,net_contract_price_ils,estimated_index_addition_ils,estimated_total_cost_ils,profit_low_ils,profit_base_ils,profit_high_ils,roi_base_pct,analysis_confidence,rank_low,rank_base,rank_high,best_rank,worst_rank,rank_spread,priority_group
1-15,1,15,3,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,0.56,2363844,2130020,2500121,2919863,1148642,25443,1174085,955934,1326036,1745778,112.9,בינונית-גבוהה,69,73,73,69,73,4,D
2-14,2,14,3,2D,2D,3 חדרים קומפקטית,3,78.65,7.35,דרום,none,0.5,82.33,28500,2346262,0.36,2354709,2121724,2490459,2908665,1146586,25398,1171984,949741,1318476,1736681,112.5,בינונית-גבוהה,71,74,74,71,74,3,D
1-10,1,10,2,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,-0.19,2346214,2113893,2481474,2898406,1148642,25443,1174085,939808,1307389,1724321,111.4,בינונית-גבוהה,73,75,75,73,75,2,D
2-9,2,9,2,2D,2D,3 חדרים קומפקטית,3,78.65,7.35,דרום,none,0.5,82.33,28500,2346262,-0.39,2337112,2105628,2471848,2887248,1146586,25398,1171984,933644,1299864,1715264,110.9,בינונית-גבוהה,74,76,77,74,77,3,D
1-5,1,5,1,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,-1.06,2325763,2095186,2459844,2873516,1148642,25443,1174085,921101,1285759,1699431,109.5,בינונית-גבוהה,77,77,78,77,78,1,D
2-4,2,4,1,2D,2D,3 חדרים קומפקטית,3,78.65,7.35,דרום,none,0.5,82.33,28500,2346262,-1.26,2316700,2086956,2450259,2862405,1146586,25398,1171984,914972,1278275,1690421,109.1,בינונית-גבוהה,78,78,79,78,79,1,D
3-28,3,28,5,3E,3E,3 חדרים קומפקטית,3,78.68,7.37,מערב,none,0.4,81.63,28500,2326398,-0.79,2308019,2079289,2441078,2851478,1147097,25409,1172506,906783,1268572,1678972,108.2,בינונית-גבוהה,79,79,80,79,80,1,D
3-23,3,23,4,3E,3E,3 חדרים קומפקטית,3,78.68,7.37,מערב,none,0.4,81.63,28500,2326398,-1.4,2293828,2066308,2426069,2834206,1147097,25409,1172506,893802,1253563,1661700,106.9,בינונית-גבוהה,80,80,81,80,81,1,D
3-18,3,18,3,3E,3E,3 חדרים קומפקטית,3,78.68,7.37,מערב,none,0.4,81.63,28500,2326398,-2.12,2277078,2050986,2408353,2813821,1147097,25409,1172506,878480,1235847,1641315,105.4,בינונית-גבוהה,81,81,82,81,82,1,D
3-2,3,2,0,3G3,3G-2,דירת גן 3 חדרים,3,76.89,0.0,מערב,none,0.0,76.89,28500,2311365,-4.2,2214288,1919756,2341943,2835584,1090359,24152,1114511,805245,1227431,1721072,110.1,נמוכה,84,82,76,76,84,8,D
3-13,3,13,2,3E,3E,3 חדרים קומפקטית,3,78.68,7.37,מערב,none,0.4,81.63,28500,2326398,-2.95,2257769,2033323,2387931,2790320,1147097,25409,1172506,860817,1215425,1617814,103.7,בינונית-גבוהה,82,83,83,82,83,1,D
3-8,3,8,1,3E,3E,3 חדרים קומפקטית,3,78.68,7.37,מערב,none,0.4,81.63,28500,2326398,-3.89,2235901,2013320,2364802,2763705,1147097,25409,1172506,840814,1192296,1591199,101.7,בינונית-גבוהה,83,84,84,83,84,1,D
